,id,symbol,category,source,date,open,high,low,close,volume
0,1,canto,crypto,coingecko,2022-08-23 01:00:00,0.3,0.3,0.3,0.3,541194.89
1,2,canto,crypto,coingecko,2022-08-23 02:00:00,0.31,0.31,0.31,0.31,1664826.02
2,3,canto,crypto,coingecko,2022-08-23 03:00:00,0.31,0.31,0.31,0.31,1752520.79
3,4,canto,crypto,coingecko,2022-08-23 04:00:00,0.31,0.31,0.31,0.31,1783332.88
4,5,canto,crypto,coingecko,2022-08-23 05:00:00,0.31,0.31,0.31,0.31,1854434.02
5,6,canto,crypto,coingecko,2022-08-23 06:00:00,0.31,0.31,0.31,0.31,2176724.59
6,7,canto,crypto,coingecko,2022-08-23 07:00:00,0.31,0.31,0.31,0.31,2175574.07
7,8,canto,crypto,coingecko,2022-08-23 08:00:00,0.31,0.31,0.31,0.31,2117884.32
8,9,canto,crypto,coingecko,2022-08-23 09:00:00,0.31,0.31,0.31,0.31,2011303.88
9,10,canto,crypto,coingecko,2022-08-23 10:00:00,0.32,0.32,0.32,0.32,2086104.34
10,11,canto,crypto,coingecko,2022-08-23 11:00:00,0.32,0.32,0.32,0.32,2066275.54
11,12,canto,crypto,coingecko,2022-08-23 12:00:00,0.32,0.32,0.32,0.32,2118389.48
12,13,canto,crypto,coingecko,2022-08-23 13:00:00,0.34,0.34,0.34,0.34,2750515.35
13,14,canto,crypto,coingecko,2022-08-23 14:00:00,0.34,0.34,0.34,0.34,2705668.27
14,15,canto,crypto,coingecko,2022-08-23 15:00:00,0.34,0.34,0.34,0.34,2680018.4
15,16,canto,crypto,coingecko,2022-08-23 16:00:00,0.34,0.34,0.34,0.34,2653469.18
16,17,canto,crypto,coingecko,2022-08-23 17:00:00,0.34,0.34,0.34,0.34,2557837.79
17,18,canto,crypto,coingecko,2022-08-23 18:00:00,0.34,0.34,0.34,0.34,2477229.28
18,19,canto,crypto,coingecko,2022-08-23 19:00:00,0.34,0.34,0.34,0.34,2508989.43
19,20,canto,crypto,coingecko,2022-08-23 20:00:00,0.35,0.35,0.35,0.35,2600913.61
20,21,canto,crypto,coingecko,2022-08-23 21:00:00,0.34,0.34,0.34,0.34,2738403.91
21,22,canto,crypto,coingecko,2022-08-23 22:00:00,0.34,0.34,0.34,0.34,2772832.67
22,23,canto,crypto,coingecko,2022-08-23 23:00:00,0.35,0.35,0.35,0.35,2805454.42
23,24,canto,crypto,coingecko,2022-08-24 00:00:00,0.35,0.35,0.35,0.35,2732400.46
24,25,canto,crypto,coingecko,2022-08-24 01:00:00,0.34,0.34,0.34,0.34,2817853.53
25,26,canto,crypto,coingecko,2022-08-24 02:00:00,0.34,0.34,0.34,0.34,2720754.92
26,27,canto,crypto,coingecko,2022-08-24 03:00:00,0.33,0.33,0.33,0.33,2667970.4
27,28,canto,crypto,coingecko,2022-08-24 04:00:00,0.33,0.33,0.33,0.33,2668888.07
28,29,canto,crypto,coingecko,2022-08-24 05:00:00,0.34,0.34,0.34,0.34,2650092.17
29,30,canto,crypto,coingecko,2022-08-24 06:00:00,0.34,0.34,0.34,0.34,2337116.26
30,31,canto,crypto,coingecko,2022-08-24 07:00:00,0.34,0.34,0.34,0.34,2326427.04
31,32,canto,crypto,coingecko,2022-08-24 08:00:00,0.34,0.34,0.34,0.34,2323587.78
32,33,canto,crypto,coingecko,2022-08-24 09:00:00,0.34,0.34,0.34,0.34,2337861.48
33,34,canto,crypto,coingecko,2022-08-24 10:00:00,0.34,0.34,0.34,0.34,2242501.4
34,35,canto,crypto,coingecko,2022-08-24 11:00:00,0.34,0.34,0.34,0.34,2226689.46
35,36,canto,crypto,coingecko,2022-08-24 12:00:00,0.34,0.34,0.34,0.34,2286700.78
36,37,canto,crypto,coingecko,2022-08-24 13:00:00,0.34,0.34,0.34,0.34,1800683.78
37,38,canto,crypto,coingecko,2022-08-24 14:00:00,0.34,0.34,0.34,0.34,1863190.35
38,39,canto,crypto,coingecko,2022-08-24 15:00:00,0.34,0.34,0.34,0.34,1905140.03
39,40,canto,crypto,coingecko,2022-08-24 16:00:00,0.35,0.35,0.35,0.35,2156002.29
40,41,canto,crypto,coingecko,2022-08-24 17:00:00,0.35,0.35,0.35,0.35,2280907.0
41,42,canto,crypto,coingecko,2022-08-24 18:00:00,0.35,0.35,0.35,0.35,2315097.91
42,43,canto,crypto,coingecko,2022-08-24 19:00:00,0.36,0.36,0.36,0.36,2291846.67
43,44,canto,crypto,coingecko,2022-08-24 20:00:00,0.36,0.36,0.36,0.36,2219299.77
44,45,canto,crypto,coingecko,2022-08-24 21:00:00,0.36,0.36,0.36,0.36,1996866.88
45,46,canto,crypto,coingecko,2022-08-24 22:00:00,0.36,0.36,0.36,0.36,2082549.59
46,47,canto,crypto,coingecko,2022-08-24 23:00:00,0.36,0.36,0.36,0.36,2160222.23
47,48,canto,crypto,coingecko,2022-08-25 00:00:00,0.36,0.36,0.36,0.36,2254329.65
48,49,canto,crypto,coingecko,2022-08-25 01:00:00,0.36,0.36,0.36,0.36,2161913.24
49,50,canto,crypto,coingecko,2022-08-25 02:00:00,0.36,0.36,0.36,0.36,2111220.46
50,51,canto,crypto,coingecko,2022-08-25 03:00:00,0.36,0.36,0.36,0.36,2215510.27
51,52,canto,crypto,coingecko,2022-08-25 04:00:00,0.36,0.36,0.36,0.36,2197543.94
52,53,canto,crypto,coingecko,2022-08-25 05:00:00,0.36,0.36,0.36,0.36,2280465.08
53,54,canto,crypto,coingecko,2022-08-25 06:00:00,0.37,0.37,0.37,0.37,2352714.89
54,55,canto,crypto,coingecko,2022-08-25 07:00:00,0.37,0.37,0.37,0.37,2430643.53
55,56,canto,crypto,coingecko,2022-08-25 08:00:00,0.37,0.37,0.37,0.37,2449875.18
56,57,canto,crypto,coingecko,2022-08-25 09:00:00,0.37,0.37,0.37,0.37,2456431.38
57,58,canto,crypto,coingecko,2022-08-25 10:00:00,0.37,0.37,0.37,0.37,2504418.5
58,59,canto,crypto,coingecko,2022-08-25 11:00:00,0.37,0.37,0.37,0.37,2566522.25
59,60,canto,crypto,coingecko,2022-08-25 12:00:00,0.37,0.37,0.37,0.37,2535254.16
60,61,canto,crypto,coingecko,2022-08-25 13:00:00,0.37,0.37,0.37,0.37,2566681.82
61,62,canto,crypto,coingecko,2022-08-25 14:00:00,0.38,0.38,0.38,0.38,2599242.32
62,63,canto,crypto,coingecko,2022-08-25 15:00:00,0.38,0.38,0.38,0.38,2686140.09
63,64,canto,crypto,coingecko,2022-08-25 16:00:00,0.38,0.38,0.38,0.38,2562578.11
64,65,canto,crypto,coingecko,2022-08-25 17:00:00,0.38,0.38,0.38,0.38,2558755.53
65,66,canto,crypto,coingecko,2022-08-25 18:00:00,0.38,0.38,0.38,0.38,2657890.84
66,67,canto,crypto,coingecko,2022-08-25 19:00:00,0.38,0.38,0.38,0.38,2767821.64
67,68,canto,crypto,coingecko,2022-08-25 20:00:00,0.39,0.39,0.39,0.39,2978184.28
68,69,canto,crypto,coingecko,2022-08-25 21:00:00,0.39,0.39,0.39,0.39,2965468.12
69,70,canto,crypto,coingecko,2022-08-25 22:00:00,0.39,0.39,0.39,0.39,2878057.19
70,71,canto,crypto,coingecko,2022-08-25 23:00:00,0.39,0.39,0.39,0.39,2854947.78
71,72,canto,crypto,coingecko,2022-08-26 00:00:00,0.39,0.39,0.39,0.39,2755427.57
72,73,canto,crypto,coingecko,2022-08-26 01:00:00,0.38,0.38,0.38,0.38,2763584.88
73,74,canto,crypto,coingecko,2022-08-26 02:00:00,0.38,0.38,0.38,0.38,2766111.27
74,75,canto,crypto,coingecko,2022-08-26 03:00:00,0.38,0.38,0.38,0.38,2685725.54
75,76,canto,crypto,coingecko,2022-08-26 04:00:00,0.38,0.38,0.38,0.38,2749715.62
76,77,canto,crypto,coingecko,2022-08-26 05:00:00,0.38,0.38,0.38,0.38,2665960.11
77,78,canto,crypto,coingecko,2022-08-26 06:00:00,0.38,0.38,0.38,0.38,2657314.48
78,79,canto,crypto,coingecko,2022-08-26 07:00:00,0.38,0.38,0.38,0.38,2648049.3
79,80,canto,crypto,coingecko,2022-08-26 08:00:00,0.37,0.37,0.37,0.37,2679687.03
80,81,canto,crypto,coingecko,2022-08-26 09:00:00,0.38,0.38,0.38,0.38,2723818.89
81,82,canto,crypto,coingecko,2022-08-26 10:00:00,0.38,0.38,0.38,0.38,2699939.78
82,83,canto,crypto,coingecko,2022-08-26 11:00:00,0.37,0.37,0.37,0.37,2645850.42
83,84,canto,crypto,coingecko,2022-08-26 12:00:00,0.36,0.36,0.36,0.36,2861492.89
84,85,canto,crypto,coingecko,2022-08-26 13:00:00,0.37,0.37,0.37,0.37,3119238.53
85,86,canto,crypto,coingecko,2022-08-26 14:00:00,0.37,0.37,0.37,0.37,3229297.77
86,87,canto,crypto,coingecko,2022-08-26 15:00:00,0.37,0.37,0.37,0.37,3187723.22
87,88,canto,crypto,coingecko,2022-08-26 16:00:00,0.34,0.34,0.34,0.34,3248514.55
88,89,canto,crypto,coingecko,2022-08-26 17:00:00,0.34,0.34,0.34,0.34,3505817.15
89,90,canto,crypto,coingecko,2022-08-26 18:00:00,0.34,0.34,0.34,0.34,3407526.52
90,91,canto,crypto,coingecko,2022-08-26 19:00:00,0.34,0.34,0.34,0.34,3359309.53
91,92,canto,crypto,coingecko,2022-08-26 20:00:00,0.34,0.34,0.34,0.34,3170160.13
92,93,canto,crypto,coingecko,2022-08-26 21:00:00,0.33,0.33,0.33,0.33,3155045.29
93,94,canto,crypto,coingecko,2022-08-26 22:00:00,0.32,0.32,0.32,0.32,3101816.54
94,95,canto,crypto,coingecko,2022-08-26 23:00:00,0.31,0.31,0.31,0.31,3185860.97
95,96,canto,crypto,coingecko,2022-08-27 00:00:00,0.31,0.31,0.31,0.31,3177873.94
96,97,canto,crypto,coingecko,2022-08-27 01:00:00,0.3,0.3,0.3,0.3,3344234.97
97,98,canto,crypto,coingecko,2022-08-27 02:00:00,0.3,0.3,0.3,0.3,3301398.58
98,99,canto,crypto,coingecko,2022-08-27 03:00:00,0.3,0.3,0.3,0.3,3228798.42
99,100,canto,crypto,coingecko,2022-08-27 04:00:00,0.3,0.3,0.3,0.3,3225010.64
100,101,canto,crypto,coingecko,2022-08-27 05:00:00,0.3,0.3,0.3,0.3,3201148.71
101,102,canto,crypto,coingecko,2022-08-27 06:00:00,0.28,0.28,0.28,0.28,3332170.29
